artist_name,total_events,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,listeners
$uicideboy$,1,0,1,0.0,0.0,0.0,Sacramento,1,1563970
2hollis,7,0,7,0.0,0.0,0.0,San Antonio,1,765293
5 Seconds of Summer,91,19,46,29.23,0.413,49.45,Amsterdam,5,2228692
A Boogie wit da Hoodie,5,0,5,0.0,0.0,0.0,Syracuse,1,1426412
A$AP Rocky,51,8,31,20.51,0.258,39.22,Berlin,4,3389842
AC/DC,23,2,16,11.11,0.125,23.81,Ciudad de México,3,4509544
Addison Rae,1,0,1,0.0,0.0,0.0,Dublin,1,1486740
Adele,25,4,0,100.0,,100.0,Arlington,10,5565336
Aerosmith,2,0,2,0.0,0.0,0.0,Charlotte,1,4687407
Air,27,3,19,13.64,0.158,29.63,Las Vegas,4,3182451
Akon,74,11,45,19.64,0.244,39.19,Amsterdam,5,3693557
Alex G,4,0,4,0.0,0.0,0.0,México,1,2027114
Alex Warren,68,13,32,28.89,0.406,52.94,Amsterdam,10,921253
Alice in Chains,1,0,1,0.0,0.0,0.0,Southampton,1,3411263
All Time Low,4,0,4,0.0,0.0,0.0,Peoria,1,2543992
America,17,2,13,13.33,0.154,23.53,Reno,2,2107097
Amy Winehouse,37,2,33,5.71,0.061,10.81,London,2,4581562
Anitta,1,0,1,0.0,0.0,0.0,Berlin,1,1189909
Arctic Monkeys,1,0,1,0.0,0.0,0.0,Ankara,1,7015740
Ariana Grande,44,11,0,100.0,,100.0,London,10,4406075
Artemas,9,0,9,0.0,0.0,0.0,Chicago,1,1577748
Ashnikko,34,2,30,6.25,0.067,11.76,Brisbane,2,1437241
Avenged Sevenfold,17,1,15,6.25,0.067,11.76,Denver,2,2842970
BTS,45,16,0,100.0,,100.0,Las Vegas,4,2316882
Baby Keem,49,11,26,29.73,0.423,46.94,San Francisco,3,1987315
Bad Bunny,66,10,0,100.0,,100.0,Madrid,40,2475994
Bad Omens,26,3,16,15.79,0.188,38.46,Derby,4,771882
Bee Gees,1,0,1,0.0,0.0,0.0,San Leandro,1,3401162
Benson Boone,1,0,1,0.0,0.0,0.0,Birmingham,1,1456781
Big Thief,14,5,2,71.43,2.5,85.71,London,4,1625085
BigXthaPlug,6,0,6,0.0,0.0,0.0,Austin,1,927084
Billy Idol,1,0,1,0.0,0.0,0.0,El Cajon,1,3019938
Billy Joel,5,0,5,0.0,0.0,0.0,Toronto,1,4002041
Black Eyed Peas,1,0,1,0.0,0.0,0.0,Milton Keynes,1,5654716
Blondie,1,0,1,0.0,0.0,0.0,York,1,3393016
Blood Orange,12,2,7,22.22,0.286,36.36,Atlanta,2,1932824
Bob Dylan,23,0,23,0.0,0.0,0.0,Omaha,1,4266431
Bon Jovi,14,2,2,50.0,1.0,85.71,New York,9,4208319
Bring Me the Horizon,20,2,15,11.76,0.133,25.0,Dessel,3,2789482
Britney Spears,4,0,4,0.0,0.0,0.0,London,1,6372536
Bruce Springsteen,21,3,15,16.67,0.2,28.57,Inglewood,2,3546912
Bruno Mars,98,25,8,75.76,3.125,91.84,London,12,5149729
Bryson Tiller,1,0,1,0.0,0.0,0.0,Abu Dhabi,1,1673484
Cage the Elephant,3,0,3,0.0,0.0,0.0,Okeechobee,1,3345543
Calvin Harris,25,3,5,37.5,0.6,80.0,Cheshire,16,4941812
Cardi B,30,7,16,30.43,0.438,46.67,Houston,2,2385192
Cavetown,15,3,9,25.0,0.333,40.0,Dublin,2,1609528
Charli xcx,5,1,2,33.33,0.5,60.0,San Francisco,3,3704686
Charlie Puth,46,4,38,9.52,0.105,17.39,Kansas City,2,2410781
Chevelle,37,1,35,2.78,0.029,5.41,Las Vegas,2,1803654
Chief Keef,2,0,2,0.0,0.0,0.0,South Padre Island,1,1715350
Childish Gambino,6,1,4,20.0,0.25,33.33,Denver,2,3744860
Chris Brown,2,1,0,100.0,,100.0,Sunrise,2,4721507
Chris Isaak,14,4,6,40.0,0.667,57.14,Valley Center,2,2015168
Christina Aguilera,8,4,0,100.0,,100.0,Austin,2,4429479
Christina Aguilera,8,4,0,100.0,,100.0,Austin,2,4429479
Clean Bandit,1,0,1,0.0,0.0,0.0,Milton Keynes,1,2514159
Coldplay,4,0,4,0.0,0.0,0.0,Derby,1,9019488
Conan Gray,40,8,20,28.57,0.4,50.0,London,5,2379267
Creed,14,2,8,20.0,0.25,42.86,Craven,4,2417322
Creedence Clearwater Revival,8,0,8,0.0,0.0,0.0,Glasgow,1,4045557
DJ Snake,2,0,2,0.0,0.0,0.0,Chicago,1,2554391
Daft Punk,3,0,3,0.0,0.0,0.0,Harrisburg,1,6249715
Daniel Caesar,1,0,1,0.0,0.0,0.0,Eau Claire,1,2302276
Dave,45,8,21,27.59,0.381,53.33,George,4,1257297
David Guetta,2,0,2,0.0,0.0,0.0,Morrison,1,5160920
Deftones,14,1,6,14.29,0.167,57.14,Monterrey,8,4165017
Demi Lovato,24,2,20,9.09,0.1,16.67,Houston,2,3334640
Denzel Curry,1,0,1,0.0,0.0,0.0,Lismore,1,1606417
Destroy Lonely,5,1,3,25.0,0.333,40.0,Frauenfeld,2,886732
Dire Straits,1,0,1,0.0,0.0,0.0,Inverness,1,3489758
Disclosure,24,6,8,42.86,0.75,66.67,Cheshire,4,2438802
Djo,27,9,5,64.29,1.8,81.48,Monterrey,5,2256954
Doja Cat,51,8,33,19.51,0.242,35.29,Amsterdam,3,3560361
Dominic Fike,13,2,9,18.18,0.222,30.77,Seattle,2,2334593
Don Toliver,40,6,28,17.65,0.214,30.0,Frauenfeld,2,2440803
Drake,12,1,10,9.09,0.1,16.67,Alpharetta,2,6646671
Duran Duran,8,2,2,50.0,1.0,75.0,Las Vegas,4,3130713
Eagles,10,1,4,20.0,0.25,60.0,Las Vegas,6,3790002
"Earth, Wind & Fire",51,6,38,13.64,0.158,25.49,Hartford,3,2910579
Ed Sheeran,28,4,19,17.39,0.211,32.14,Toronto,3,4161226
Electric Light Orchestra,10,1,8,11.11,0.125,20.0,Durham,2,2943981
Elton John,1,0,1,0.0,0.0,0.0,Quebec,1,5171397
Eminem,2,0,2,0.0,0.0,0.0,London,1,7726026
Empire of the Sun,13,3,6,33.33,0.5,53.85,San Francisco,3,2984014
EsDeeKid,5,1,3,25.0,0.333,40.0,Frauenfeld,2,875817
Ethel Cain,31,6,16,27.27,0.375,48.39,San Francisco,3,1240159
Evanescence,41,2,37,5.13,0.054,9.76,Morrison,2,4440482
Exo,1,0,1,0.0,0.0,0.0,Houten,1,1033112
FKA twigs,25,2,19,9.52,0.105,24.0,Werchter,3,1644501
Fetty Wap,1,0,1,0.0,0.0,0.0,Montclair,1,1668347
Fleetwood Mac,2,0,2,0.0,0.0,0.0,San Leandro,1,4808547
Flo Rida,10,1,8,11.11,0.125,20.0,Sydney,2,4118878
Fontaines D.C.,3,0,3,0.0,0.0,0.0,Reading,1,1068219
Foo Fighters,24,3,17,15.0,0.176,29.17,Napa,3,6313148
Foster the People,2,0,2,0.0,0.0,0.0,Austin,1,3687798
Frank Sinatra,35,1,0,100.0,,100.0,Berlin,35,4885987
Franz Ferdinand,15,1,12,7.69,0.083,20.0,Werchter,3,4831912
Freddie Gibbs,20,2,16,11.11,0.125,20.0,Manchester,2,1278766
Future,1,0,1,0.0,0.0,0.0,Tampere,1,3171840
Geese,23,5,10,33.33,0.5,56.52,Glasgow,3,511461
Gigi Perez,39,7,15,31.82,0.467,61.54,Boston,9,1363612
Givēon,13,2,6,25.0,0.333,53.85,Amsterdam,5,688767
Gorillaz,47,9,27,25.0,0.333,41.3,Werchter,3,6779023
Grimes,1,0,1,0.0,0.0,0.0,Belfast,1,2627478
Gunna,17,4,5,44.44,0.8,70.59,Amsterdam,6,1779003
Guns N' Roses,47,6,22,21.43,0.273,53.19,Monterrey,8,5142461
Gwen Stefani,2,0,2,0.0,0.0,0.0,Ottawa,1,4408955
Halsey,10,2,2,50.0,1.0,80.0,Monterrey,5,2774603
Harry Styles,77,6,1,85.71,6.0,98.67,New York,30,3197410
Hearts2Hearts,3,1,1,50.0,1.0,66.67,Los Angeles,2,317554
Hole,1,0,1,0.0,0.0,0.0,Rozelle,1,2080548
Hozier,1,0,1,0.0,0.0,0.0,New York,1,3294111
IVE,2,0,2,0.0,0.0,0.0,Singapore,1,1025917
J Balvin,4,1,2,33.33,0.5,50.0,Ciudad de México,2,1805392
J. Cole,77,25,24,51.02,1.042,68.83,London,3,3807253
JID,21,3,15,16.67,0.2,28.57,Brisbane,2,1370698
Jamiroquai,1,0,1,0.0,0.0,0.0,Sevilla,1,2853958
Jane Remover,1,0,1,0.0,0.0,0.0,Queens,1,500002
Jason Derulo,1,0,1,0.0,0.0,0.0,Bergen,1,3080732
Jennie,1,0,1,0.0,0.0,0.0,Queens,1,1459036
Jennifer Lopez,16,1,0,100.0,,100.0,Las Vegas,16,3738601
Jhené Aiko,2,1,0,100.0,,100.0,Miami,2,1366120
Joji,31,1,29,3.33,0.034,6.45,Amsterdam,2,2956634
Jordana,8,0,8,0.0,0.0,0.0,Santa Ana,1,1247480
Julia Wolf,5,0,5,0.0,0.0,0.0,London,1,557762
KATSEYE,1,0,1,0.0,0.0,0.0,Queens,1,1479403
KAYTRANADA,13,2,7,22.22,0.286,46.15,Berlin,4,1544296
Kali Uchis,3,0,3,0.0,0.0,0.0,Chicago,1,3011779
Kate Bush,4,0,4,0.0,0.0,0.0,Peterborough,1,3411549
Katy Perry,8,2,2,50.0,1.0,75.0,Woodstock,4,7048299
Keane,4,2,0,100.0,,100.0,Belfast,2,3997883
Kehlani,1,0,1,0.0,0.0,0.0,Montreal,1,1659399
Kelly Clarkson,21,1,1,50.0,1.0,95.24,Las Vegas,20,4475094
Ken Carson,13,3,3,50.0,1.0,76.92,Amsterdam,6,1141879
Kesha,19,6,4,60.0,1.5,78.95,London,4,3086977
Khalid,27,2,23,8.0,0.087,14.81,Las Vegas,2,2271778
Kid Cudi,33,0,33,0.0,0.0,0.0,Phoenix,1,4648881
Kings of Leon,15,2,11,15.38,0.182,26.67,Hollywood,2,5093310
Kodak Black,5,0,5,0.0,0.0,0.0,Hidalgo,1,1780237
Korn,2,0,2,0.0,0.0,0.0,Las Vegas,1,3368573
Labrinth,3,1,0,100.0,,100.0,San Francisco,3,2508265
Lady Gaga,17,7,1,87.5,7.0,94.12,New York,3,7632370
Laufey,5,1,3,25.0,0.333,40.0,London,2,2268345
Lauv,27,2,23,8.0,0.087,14.81,Las Vegas,2,1735659
Led Zeppelin,1,0,1,0.0,0.0,0.0,Rochester,1,4897283
Leon Thomas,47,12,15,44.44,0.8,68.09,Toronto,5,875329
Lil Wayne,3,1,0,100.0,,100.0,Napa,3,3529811
Lil Yachty,1,0,1,0.0,0.0,0.0,Eau Claire,1,1783282
Lily Allen,53,16,9,64.0,1.778,83.02,Manchester,6,3731003
Limp Bizkit,14,2,6,25.0,0.333,57.14,Derby,4,4078832
Linkin Park,19,4,5,44.44,0.8,73.68,Hamburg,4,6856669
Lisa,4,0,4,0.0,0.0,0.0,Rosemont,1,1919588
Lit,9,0,9,0.0,0.0,0.0,Sparks,1,1284456
Lola Young,1,0,1,0.0,0.0,0.0,Los Angeles,1,1152073
Lord Huron,23,3,16,15.79,0.188,30.43,Boston,3,2271718
Lorde,23,5,9,35.71,0.556,60.87,Wabern bei Bern,5,3672072
Lucki,2,1,0,100.0,,100.0,Toronto,2,1135578
Lykke Li,8,1,4,20.0,0.25,50.0,Praha 9,4,3106961
Lynyrd Skynyrd,27,1,25,3.85,0.04,7.41,New Orleans,2,3247064
Mac DeMarco,28,3,21,12.5,0.143,25.0,London,3,3198917
Mac Miller,1,0,1,0.0,0.0,0.0,Atlanta,1,3466486
Madison Beer,35,3,28,9.68,0.107,20.0,Amsterdam,3,1638084
Madonna,1,0,1,0.0,0.0,0.0,San Leandro,1,5520985
Magdalena Bay,2,0,2,0.0,0.0,0.0,Bloomington,1,1410653
Major Lazer,8,1,5,16.67,0.2,37.5,Yesodot,3,2931057
Malcolm Todd,4,1,1,50.0,1.0,75.0,San Francisco,3,1128902
Marina,6,0,6,0.0,0.0,0.0,Bristol,1,2213425
Maroon 5,7,2,2,50.0,1.0,71.43,London,3,6564586
Marshmello,5,1,3,25.0,0.333,40.0,Las Vegas,2,2534472
Marvin Gaye,1,0,1,0.0,0.0,0.0,San Leandro,1,3711394
Massive Attack,5,2,1,66.67,2.0,80.0,Helsinki,2,3825546
Matt Maltese,3,0,3,0.0,0.0,0.0,Auckland,1,1712156
Melanie Martinez,1,0,1,0.0,0.0,0.0,Toronto,1,2262252
Men I Trust,7,0,7,0.0,0.0,0.0,Minneapolis,1,2134749
Metric,21,3,15,16.67,0.2,28.57,Nashville,2,2809277
Metro Boomin,1,0,1,0.0,0.0,0.0,Atlanta,1,2441400
Miguel,34,5,24,17.24,0.208,29.41,Portland,2,2647242
Mitski,13,2,4,33.33,0.5,69.23,Los Angeles,5,3201407
Mother Mother,5,1,3,25.0,0.333,40.0,Spokane,2,1902369
Mumford & Sons,52,8,31,20.51,0.258,40.38,New York,3,2667238
Muse,1,0,1,0.0,0.0,0.0,Milwaukee,1,6326491
My Chemical Romance,27,4,15,21.05,0.267,44.44,Hollywood,5,4784939
NMIXX,14,3,7,30.0,0.429,50.0,Amsterdam,3,722228
Natasha Bedingfield,5,1,3,25.0,0.333,40.0,Co Wicklow,2,2959071
Ne-Yo,75,11,46,19.3,0.239,38.67,Amsterdam,5,3316511
Neil Young,9,1,5,16.67,0.2,44.44,Woodstock,4,2696140
Nickelback,4,0,4,0.0,0.0,0.0,London,1,4322864
Nine Inch Nails,9,2,5,28.57,0.4,44.44,Las Vegas,2,3570426
Nirvana,1,0,1,0.0,0.0,0.0,Las Vegas,1,7457169
No Doubt,30,1,0,100.0,,100.0,Las Vegas,30,3558092
Noah Kahan,40,7,16,30.43,0.438,60.0,Boston,9,1537923
Oasis,9,1,6,14.29,0.167,33.33,Linlithgow,3,5817393
Olivia Dean,48,13,9,59.09,1.444,81.25,London,6,1335764
OneRepublic,9,2,5,28.57,0.4,44.44,Madrid,2,4277682
OsamaSon,3,1,1,50.0,1.0,66.67,Toronto,2,427129
P!nk,3,1,1,50.0,1.0,66.67,Ciudad de México,2,3731132
PEDRO SAMPAIO,3,0,3,0.0,0.0,0.0,Miami Beach,1,550013
Panchiko,30,3,22,12.0,0.136,26.67,Anaheim,4,1122829
Pantera,11,3,2,60.0,1.5,81.82,Frankfurt am Main,5,2591476
Pearl Jam,1,0,1,0.0,0.0,0.0,Chicago,1,4319791
Pet Shop Boys,4,1,1,50.0,1.0,75.0,Lancashire,3,2322216
Phantogram,19,2,13,13.33,0.154,31.58,Hamburg,4,1912973
Pierce the Veil,15,2,11,15.38,0.182,26.67,Honolulu,2,2041985
Pink Floyd,1,0,1,0.0,0.0,0.0,Ciudad de México,1,5495214
PinkPantheress,27,8,11,42.11,0.727,59.26,México,2,2922490
Pitbull,64,8,43,15.69,0.186,32.81,Praha 9,3,4341486
Pixies,16,5,5,50.0,1.0,68.75,Werchter,3,4235805
Playboi Carti,42,10,1,90.91,10.0,97.62,Frankfurt am Main,9,2438179
Post Malone,30,7,15,31.82,0.467,50.0,Fort Lauderdale,3,3483537
Prince,30,2,26,7.14,0.077,13.33,Rosemont,2,3263324
Queen,6,1,4,20.0,0.25,33.33,Red Bank,2,7160666
Queens of the Stone Age,31,6,17,26.09,0.353,45.16,Warsaw,4,3709970
R.E.M.,6,0,6,0.0,0.0,0.0,Kinross,1,4333332
RAYE,55,13,22,37.14,0.591,60.0,Vancouver,4,1797157
ROLE MODEL,3,0,3,0.0,0.0,0.0,Manchester,1,1022930
ROSALÍA,60,14,7,66.67,2.0,88.33,Amsterdam,10,1821645
Radiohead,14,0,14,0.0,0.0,0.0,Cardiff,1,8149620
Rae Sremmurd,1,0,1,0.0,0.0,0.0,Tampere,1,1871366
Rage Against the Machine,1,0,1,0.0,0.0,0.0,North Myrtle Beach,1,4219440
Ravyn Lenae,5,1,3,25.0,0.333,40.0,Göteborg,2,1640640
Reneé Rapp,18,6,2,75.0,3.0,88.89,London,4,982162
Rosé,1,0,1,0.0,0.0,0.0,Berlin,1,1644666
Sam Smith,7,1,0,100.0,,100.0,San Francisco,7,3049190
Sean Paul,9,1,6,14.29,0.167,33.33,Wabern bei Bern,3,3140189
Seventeen,1,0,1,0.0,0.0,0.0,Singapore,1,927181
Slayyyter,1,0,1,0.0,0.0,0.0,Queens,1,783468
Sleeping With Sirens,4,0,4,0.0,0.0,0.0,Daytona Beach,1,1165264
Slipknot,1,0,1,0.0,0.0,0.0,Fort Worth,1,4168449
Slowdive,6,1,2,33.33,0.5,66.67,Praha 9,4,2181345
Snow Strippers,7,1,4,20.0,0.25,42.86,San Francisco,3,852051
Steely Dan,1,0,1,0.0,0.0,0.0,Jim Thorpe,1,1747762
Stevie Wonder,4,1,0,100.0,,100.0,London,4,3920214
Stone Temple Pilots,39,2,35,5.41,0.057,10.26,Nampa,2,2470260
Stray Kids,1,0,1,0.0,0.0,0.0,Queens,1,1324476
Sublime,14,1,12,7.69,0.083,14.29,Morrison,2,3080178
Summer Walker,22,3,16,15.79,0.188,27.27,London,2,1710382
Swedish House Mafia,6,2,0,100.0,,100.0,Cheshire,4,2682111
System of a Down,15,5,3,62.5,1.667,80.0,Warsaw,4,5761070
TV Girl,5,1,1,50.0,1.0,66.67,Belfast,2,2784803
TWICE,30,11,3,78.57,3.667,90.0,Amsterdam,6,1869503
Tame Impala,43,12,18,40.0,0.667,58.14,Amsterdam,3,4217192
Tate McRae,1,0,1,0.0,0.0,0.0,Montreal,1,2217123
The All-American Rejects,13,1,9,10.0,0.111,30.77,Derby,4,3254844
The Beach Boys,22,3,16,15.79,0.188,27.27,Niagara Falls,2,4092436
The Beatles,9,0,9,0.0,0.0,0.0,Co. Kerry,1,6445190
The Chainsmokers,3,1,1,50.0,1.0,66.67,Las Vegas,2,2761881
The Cure,14,4,5,44.44,0.8,64.29,Werchter,3,5427832
The Doors,4,0,4,0.0,0.0,0.0,Atlantic City,1,4700836
The Goo Goo Dolls,53,7,36,16.28,0.194,32.08,Las Vegas,5,2580946
The Kid LAROI,45,9,26,25.71,0.346,42.22,Nashville,3,2447299
The Killers,5,1,1,50.0,1.0,80.0,Monterrey,4,6874883
The Living Tombstone,23,3,17,15.0,0.176,26.09,Barcelona,2,1290289
The Lumineers,21,3,11,21.43,0.273,47.62,Monterrey,5,2552448
The Neighbourhood,55,13,26,33.33,0.5,52.73,Amsterdam,3,3887320
The Offspring,12,2,8,20.0,0.25,33.33,Sölvesborg,2,4537431
The Police,1,0,1,0.0,0.0,0.0,Thousand Oaks,1,4539438
The Rolling Stones,1,0,1,0.0,0.0,0.0,San Leandro,1,5779078
The Script,15,5,2,71.43,2.5,86.67,Manchester,4,2948373
The Smiths,3,0,3,0.0,0.0,0.0,Sheffield,1,4998810
The Strokes,7,1,3,25.0,0.333,57.14,San Francisco,4,5651179
The Weeknd,54,12,0,100.0,,100.0,Frankfurt am Main,9,5233527
Thee Sacred Souls,31,5,21,19.23,0.238,32.26,Los Angeles,2,1162267
Three Days Grace,56,8,39,17.02,0.205,30.36,Warsaw,3,3836042
Thundercat,8,2,4,33.33,0.5,50.0,Bristol,2,2002717
Tinashe,3,1,0,100.0,,100.0,San Francisco,3,1586552
Tool,3,0,3,0.0,0.0,0.0,Columbus,1,2591971
Toto,40,1,38,2.56,0.026,5.0,Denver,2,3049325
Twenty One Pilots,8,1,5,16.67,0.2,37.5,Werchter,3,3291476
Two Door Cinema Club,13,3,6,33.33,0.5,53.85,Glasgow,3,3113351
Ty Dolla $ign,1,0,1,0.0,0.0,0.0,Morrison,1,1643314
"Tyler, The Creator",14,3,1,75.0,3.0,92.86,Monterrey,8,4255100
V,1,0,1,0.0,0.0,0.0,New York City,1,906065
Waka Flocka Flame,10,0,10,0.0,0.0,0.0,Charlotte,1,1790840
Wet Leg,22,5,11,31.25,0.455,50.0,San Francisco,3,882417
Willow,5,0,5,0.0,0.0,0.0,Chicago,1,2298418
Wiz Khalifa,37,2,33,5.71,0.061,10.81,Frauenfeld,2,3851111
Wolf Alice,20,4,10,28.57,0.4,50.0,Glasgow,3,1251269
Yeat,3,1,1,50.0,1.0,66.67,Frauenfeld,2,1583135
ZAYN,29,2,25,7.41,0.08,13.79,Manchester,2,2214428
Zach Bryan,40,9,18,33.33,0.5,55.0,London,4,1179653
Zara Larsson,47,8,31,20.51,0.258,34.04,Los Angeles,2,2185312
Zedd,20,3,5,37.5,0.6,75.0,Las Vegas,10,2556212
bbno$,39,5,27,15.62,0.185,30.77,Amsterdam,3,1476522
blink-182,2,0,2,0.0,0.0,0.0,Verviers,1,4589449
bôa,2,0,2,0.0,0.0,0.0,Warsaw,1,2061842
fakemink,1,0,1,0.0,0.0,0.0,Orlando,1,436138
i-dle,10,0,10,0.0,0.0,0.0,Hamilton,1,475522
sombr,19,4,9,30.77,0.444,52.63,London,3,1741726
t.A.T.u.,2,1,0,100.0,,100.0,México,2,2200648
